Origin;Core Web Vitals passed;Date;LCP75P in ms;LCP good in %;FID75P in ms;FID good in %;CLS75P;CLS good in %
https://www.thalia.de;passed;2021-11-29;1663;89;19;92;0.06;78
https://www.mediamarkt.de;failed;2021-11-29;2943;66;127;72;0.14;70
https://www.douglas.de;failed;2021-11-29;4134;42;48;88;0.26;60
https://www.flaconi.de;failed;2021-11-29;3606;54;108;74;0.19;63
https://www.westwing.de;passed;2021-11-29;1833;86;20;96;0.03;91
https://www.amazon.de;failed;2021-11-29;1596;90;36;93;0.13;70
https://www.ebay.de;passed;2021-11-29;1857;87;29;92;0.05;83
https://www.thalia.de;passed;2021-12-01;1660;89;19;92;0.06;79
https://www.thalia.de;passed;2021-12-01;1660;89;19;92;0.06;79
https://www.mediamarkt.de;failed;2021-12-01;2944;66;127;72;0.14;70
https://www.douglas.de;failed;2021-12-01;4110;42;48;88;0.26;60
https://www.flaconi.de;failed;2021-12-01;3602;55;107;74;0.19;63
https://www.westwing.de;passed;2021-12-01;1833;86;20;96;0.03;91
https://www.amazon.de;failed;2021-12-01;1592;90;36;92;0.13;70
https://www.ebay.de;passed;2021-12-01;1858;87;29;92;0.05;83
https://www.kaufland.de;failed;2021-12-01;3576;51;47;89;0.13;69
https://www.home24.de;passed;2021-12-01;2007;85;36;91;0.03;85
https://www.tui.com;failed;2021-12-01;3811;61;34;89;0.21;55
https://www.otto.de;passed;2021-12-01;1793;88;28;90;0.08;78
https://allegro.pl;passed;2021-12-01;1502;92;33;95;0.02;94
https://www.hometogo.de;failed;2021-12-01;3467;65;34;85;0.20;51
https://www.getyourguide.com;passed;2021-12-01;2338;79;15;95;0.02;92
https://www.finanzcheck.com;failed;2021-12-01;3214;60;21;94;0.23;55
https://www.eobuwie.com.pl;failed;2021-12-01;3540;56;21;94;0.35;40
https://www.reuter.de;passed;2021-12-01;1925;85;30;93;0.09;76
https://www.aboutyou.de;failed;2021-12-01;3348;62;293;67;0.31;57
https://www.birkenstock.com;failed;2021-12-01;2900;67;32;92;0.20;61
https://www.sixt.de;failed;2021-12-01;2363;77;31;88;0.59;35
https://www.autodoc.de;failed;2021-12-01;3921;46;12;92;0.03;95
https://www.holidu.de;failed;2021-12-01;2637;73;84;76;0.03;87
https://www.casamundo.de;failed;2021-12-01;3610;63;38;83;0.72;37
https://www.xxxlutz.de;failed;2021-12-01;5284;28;60;82;0.66;19
https://www.bonprix.de;failed;2021-12-01;2885;68;43;86;0.20;58
https://www.olx.pl;failed;2021-12-01;2067;83;8;92;0.14;68
https://www.galaxus.de;failed;2021-12-01;2288;79;119;72;0.01;89
https://www.breuninger.com;passed;2021-12-01;1644;91;27;89;0.04;77
https://www.verivox.de;failed;2021-12-01;2497;75;17;97;0.35;64
https://www.adidas.de;failed;2021-12-01;3821;54;177;69;0.37;43
https://www.bueromarkt-ag.de;passed;2021-12-01;1944;84;19;98;0.03;86
https://www.picanova.de;failed;2021-12-01;1649;89;22;98;0.13;71
https://www.ionos.de;passed;2021-12-01;2104;82;12;97;0.08;80
https://www.tchibo.de;failed;2021-12-01;2908;68;88;78;0.14;71
https://www.chronext.de;failed;2021-12-01;3089;61;69;81;0.22;60
https://www.lampenwelt.de;failed;2021-12-01;3322;58;68;82;0.04;83
https://www.thalia.de;passed;2021-12-01;1660;89;19;92;0.06;79
https://www.mediamarkt.de;failed;2021-12-01;2944;66;127;72;0.14;70
https://www.douglas.de;failed;2021-12-01;4110;42;48;88;0.26;60
https://www.flaconi.de;failed;2021-12-01;3602;55;107;74;0.19;63
https://www.westwing.de;passed;2021-12-01;1833;86;20;96;0.03;91
https://www.amazon.de;failed;2021-12-01;1592;90;36;92;0.13;70
https://www.ebay.de;passed;2021-12-01;1858;87;29;92;0.05;83
https://www.kaufland.de;failed;2021-12-01;3576;51;47;89;0.13;69
https://www.home24.de;passed;2021-12-01;2007;85;36;91;0.03;85
https://www.tui.com;failed;2021-12-01;3811;61;34;89;0.21;55
https://www.otto.de;passed;2021-12-01;1793;88;28;90;0.08;78
https://allegro.pl;passed;2021-12-01;1502;92;33;95;0.02;94
https://www.hometogo.de;failed;2021-12-01;3467;65;34;85;0.20;51
https://www.getyourguide.com;passed;2021-12-01;2338;79;15;95;0.02;92
https://www.finanzcheck.com;failed;2021-12-01;3214;60;21;94;0.23;55
https://www.eobuwie.com.pl;failed;2021-12-01;3540;56;21;94;0.35;40
https://www.reuter.de;passed;2021-12-01;1925;85;30;93;0.09;76
https://www.aboutyou.de;failed;2021-12-01;3348;62;293;67;0.31;57
https://www.birkenstock.com;failed;2021-12-01;2900;67;32;92;0.20;61
https://www.sixt.de;failed;2021-12-01;2363;77;31;88;0.59;35
https://www.autodoc.de;failed;2021-12-01;3921;46;12;92;0.03;95
https://www.holidu.de;failed;2021-12-01;2637;73;84;76;0.03;87
https://www.casamundo.de;failed;2021-12-01;3610;63;38;83;0.72;37
https://www.xxxlutz.de;failed;2021-12-01;5284;28;60;82;0.66;19
https://www.bonprix.de;failed;2021-12-01;2885;68;43;86;0.20;58
https://www.olx.pl;failed;2021-12-01;2067;83;8;92;0.14;68
https://www.galaxus.de;failed;2021-12-01;2288;79;119;72;0.01;89
https://www.breuninger.com;passed;2021-12-01;1644;91;27;89;0.04;77
https://www.verivox.de;failed;2021-12-01;2497;75;17;97;0.35;64
https://www.adidas.de;failed;2021-12-01;3821;54;177;69;0.37;43
https://www.bueromarkt-ag.de;passed;2021-12-01;1944;84;19;98;0.03;86
https://www.picanova.de;failed;2021-12-01;1649;89;22;98;0.13;71
https://www.ionos.de;passed;2021-12-01;2104;82;12;97;0.08;80
https://www.tchibo.de;failed;2021-12-01;2908;68;88;78;0.14;71
https://www.chronext.de;failed;2021-12-01;3089;61;69;81;0.22;60
https://www.lampenwelt.de;failed;2021-12-01;3322;58;68;82;0.04;83
https://www.thalia.de;passed;2021-12-01;1657;89;19;92;0.06;79
https://www.mediamarkt.de;failed;2021-12-01;2948;66;126;72;0.14;70
https://www.mediamarkt.de;failed;2021-12-03;2932;66;125;72;0.13;71
https://www.mediamarkt.de;failed;2021-12-03;2932;66;125;72;0.13;71
https://www.mediamarkt.de;failed;2021-12-03;2932;66;125;72;0.13;71
https://www.mediamarkt.de;failed;2021-12-03;2932;66;125;72;0.13;71
https://www.falke.com;passed;2021-12-03;2076;84;14;97;0.04;87
https://www.falke.com;passed;2021-12-03;2076;84;14;97;0.04;87
https://www.falke.com;passed;2021-12-03;2076;84;14;97;0.04;87
